Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
32611,2020,5,OpsRsch,No Major,,
35971,2023,3,No Major,No Major,,
35617,2022,10,Management,No Major,,
37160,2021,1,No Major,No Major,,
32712,2020,1,CompSci,No Major,,
33112,2021,24,AeroEngr,No Major,,
32713,2020,40,FAS-Hist,No Major,,
31990,2020,26,OpsRsch,No Major,,
36568,2023,33,No Major,No Major,,
32714,2020,30,AstroEngr,No Major,,
36934,2023,3,No Major,No Major,,
36935,2023,10,No Major,No Major,,
35972,2023,14,No Major,No Major,GO,M
34547,2022,21,Biology,No Major,,
33114,2021,18,MSS,No Major,,
36701,2023,29,No Major,No Major,,
34548,2022,36,Biology,No Major,BB,F
35973,2023,36,No Major,No Major,,
32365,2020,29,SysEngr,No Major,,
34549,2022,29,AeroEngr,No Major,,
34550,2022,31,AeroEngr,No Major,,
34169,2021,30,Management,No Major,,
34170,2021,8,Biology,No Major,,
34551,2022,8,PolSci,No Major,SW,F
35231,2022,35,Economics,No Major,,
36936,2023,20,No Major,No Major,SO,M
35974,2023,23,No Major,No Major,,
33116,2021,11,BehSci,No Major,FN,F
33117,2021,15,Biology,No Major,,
31691,2020,1,AeroEngr,No Major,,
34172,2021,32,FAS-PolSci,No Major,,
31692,2020,22,MechEngr,No Major,,
33118,2021,21,OpsRsch,No Major,VB,F
33119,2021,5,Biology,No Major,,
35618,2022,37,MathApp,No Major,,
35237,2022,20,AstroEngr,No Major,,
34173,2021,6,FAS-PolSci,No Major,,
36937,2023,13,No Major,No Major,,
35975,2023,10,No Major,No Major,CL,F
31991,2020,24,SysEngr,No Major,,
35619,2022,34,LegalStu,No Major,TR,M
34174,2021,30,LegalStu,No Major,BX,M
34175,2021,33,SocSci,No Major,,
36569,2023,25,No Major,No Major,,
34552,2022,28,PolSci,No Major,,
36570,2023,6,No Major,No Major,,
35976,2023,36,No Major,No Major,,
34553,2022,1,AstroEngr,No Major,,
33121,2021,16,Physics,No Major,,
35232,2022,8,CompSci,No Major,,
36938,2023,23,No Major,No Major,TN,F
32716,2020,29,MSS,No Major,,
33122,2021,40,Biology,No Major,,
31693,2020,23,Management,No Major,,
33123,2021,7,OpsRsch,No Major,,
34176,2021,38,SysEngr,No Major,WP,M
35338,2022,30,AeroEngr,No Major,,
35977,2023,29,No Major,No Major,,
32718,2020,8,BehSci,No Major,,
31694,2020,39,English,No Major,,
36939,2023,30,No Major,No Major,,
33125,2021,9,OpsRsch,No Major,,
35233,2022,29,No Major,No Major,,
30376,2021,28,CivEngr,No Major,,
35978,2023,40,No Major,No Major,,
34554,2022,9,BioChem,No Major,,
33126,2021,32,MSS,No Major,,
36940,2023,13,No Major,No Major,,
34555,2022,30,Biology,No Major,TR,F
33120,2021,39,FAS-MSS,No Major,SO,M
33128,2021,24,Economics,No Major,,
31695,2020,10,Management,No Major,,
36941,2023,33,No Major,No Major,,
31696,2020,23,Management,No Major,,
36942,2023,4,No Major,No Major,DV,M
35620,2022,36,No Major,No Major,BA,M
35979,2023,6,No Major,No Major,SW,F
31697,2020,3,SysEngr,No Major,BB,F
32366,2020,24,FAS-PolSci,No Major,WR,M
33149,2021,40,AeroEngr,No Major,,
34556,2022,27,No Major,No Major,,
35980,2023,26,No Major,No Major,,
34557,2022,22,FAS-PolSci,No Major,,
35981,2023,3,No Major,No Major,,
31993,2020,11,PolSci,No Major,,
35410,2022,23,No Major,No Major,,
33150,2021,11,Economics,No Major,,
35234,2022,2,No Major,No Major,GY,M
33151,2021,18,Chemistry,Physics,,
31994,2020,40,SysEngr,No Major,CL,F
35982,2023,18,No Major,No Major,,
28652,2020,6,BehSci,No Major,,
