Dept,Subject,CourseNumber,Credits,Contact,Periods,Core,Min,Max,DF,Lookup,Summer,CourseCode
306FTG,ArmnShp,250,0,2xx,0,,1,35,0,ArmnShp 250,0,Amn250
306FTG,ArmnShp,251,0,0,0,,,999,0,ArmnShp 251,0,Amn251
306FTG,ArmnShp,302,0,2x,0,,,999,0,ArmnShp 302,0,Amn302
306FTG,ArmnShp,303,0,0,0,,,999,0,ArmnShp 303,0,Amn303
306FTG,ArmnShp,320,0,2,0,,,999,0,ArmnShp 320,0,Amn320
306FTG,ArmnShp,420,0,3x,0,,,999,0,ArmnShp 420,0,Amn420
306FTG,ArmnShp,461,0,3,0,2,,999,0,ArmnShp 461,0,Amn461
306FTG,ArmnShp,465,0,3,0,2,,999,0,ArmnShp 465,0,Amn465
306FTG,ArmnShp,471,0,3,0,2,,999,0,ArmnShp 471,0,Amn471
306FTG,ArmnShp,472,0,0,0,,,999,0,ArmnShp 472,0,Amn472
306FTG,ArmnShp,473,0,3,0,2,,999,0,ArmnShp 473,0,Amn473
306FTG,ArmnShp,474,0,3,0,2,,999,0,ArmnShp 474,0,Amn474
306FTG,ArmnShp,475,0,3,0,2,,999,0,ArmnShp 475,0,Amn475
306FTG,ArmnShp,490,0,2xx,0,,,999,0,ArmnShp 490,0,Amn490
306FTG,ArmnShp,491,0,2,0,2,,999,0,ArmnShp 491,0,Amn491
306FTG,ArmnShp,496,0,2,0,2,,999,0,ArmnShp 496,0,Amn496
306FTG,Aviation,401,0,1xx,0,,1,10,0,Aviation 401,0,Av401
AD,PhyEd,100,0,0,0,C,,999,0,PhyEd 100,0,Pe100
AD,PhyEd,110,0.5,2xx,0,C,,45,0,PhyEd 110,0,Pe110
AD,PhyEd,111,0.5,2xx,0,C,,36,0,PhyEd 111,0,Pe111
AD,PhyEd,112,0.5,2xx,0,C,,30,0,PhyEd 112,0,Pe112
AD,PhyEd,113,0.5,2xx,0,C,,999,0,PhyEd 113,0,Pe113
AD,PhyEd,114,0.5,2xx,0,C,,999,0,PhyEd 114,0,Pe114
AD,PhyEd,119,0.5,2xx,0,C,,20,0,PhyEd 119,0,Pe119
AD,PhyEd,120,0.5,2xx,0,C,,20,0,PhyEd 120,0,Pe120
AD,PhyEd,152,0.5,2xx,0,,,999,0,PhyEd 152,0,Pe152
AD,PhyEd,211,0.5,2xx,0,C,,20,0,PhyEd 211,0,Pe211
AD,PhyEd,215,0.5,2xx,0,C,,36,0,PhyEd 215,0,Pe215
AD,PhyEd,219,0.5,2xx,0,C,,999,0,PhyEd 219,0,Pe219
AD,PhyEd,222,0.5,2xx,0,C,,36,0,PhyEd 222,0,Pe222
AD,PhyEd,252,0.5,2xx,0,,,999,0,PhyEd 252,0,Pe252
AD,PhyEd,315,0.5,2xx,0,C,,36,0,PhyEd 315,0,Pe315
AD,PhyEd,340,0.5,2xx,0,,,15,0,PhyEd 340,0,Pe340
AD,PhyEd,341,0.5,2xx,0,,,22,0,PhyEd 341,0,Pe341
AD,PhyEd,342,0.5,2xx,0,,,22,0,PhyEd 342,0,Pe342
AD,PhyEd,343,0.5,2xx,0,,,15,0,PhyEd 343,0,Pe343
AD,PhyEd,344,0.5,2xx,0,,,15,0,PhyEd 344,0,Pe344
AD,PhyEd,345,0.5,2xx,0,,,15,0,PhyEd 345,0,Pe345
AD,PhyEd,346,0.5,2xx,0,,,15,0,PhyEd 346,0,Pe346
AD,PhyEd,352,0.5,2xx,0,,,999,0,PhyEd 352,0,Pe352
AD,PhyEd,440,3,2,2,,,999,0,PhyEd 440,0,Pe440
AD,PhyEd,452,0.5,2xx,0,,,999,0,PhyEd 452,0,Pe452
AD,PhyEd,460,3,1,0,,,999,0,PhyEd 460,0,Pe460
AD,PhyEd,477,0.5,2xx,0,,,999,0,PhyEd 477,0,Pe477
AD,PhyEd,479,0.5,2xx,0,,,999,0,PhyEd 479,0,Pe479
AD,PhyEd,484,0.5,2xx,0,,,30,0,PhyEd 484,0,Pe484
AD,PhyEd,486,0.5,2xx,0,,,25,0,PhyEd 486,0,Pe486
AD,PhyEd,487,0.5,2xx,0,,,25,0,PhyEd 487,0,Pe487
AD,PhyEd,488,0.5,2xx,0,,,25,0,PhyEd 488,0,Pe488
AD,PhyEd,499,0.5,0,0,,1,24,0,PhyEd 499,0,Pe499
AD,PhyEd,811,0,2,0,,,9999,0,PhyEd 811,0,Pe811
AD,PhyEd,816,0.5,2,0,,,9999,0,PhyEd 816,0,Pe816
AD,PhyEd,821,0,2,0,,,9999,0,PhyEd 821,0,Pe821
AD,PhyEd,826,0.5,2,0,,,9999,0,PhyEd 826,0,Pe826
AD,PhyEd,700,0,0,1,,,350,0,PhyEd 700,0,Pe700
AD,PhyEd,700F,0,0,1,,,350,0,PhyEd 700F,0,Pe700F
AD,PhyEd,700W,0,0,1,,,350,0,PhyEd 700W,0,Pe700W
AD,PhyEd,700S,0,0,1,,,350,0,PhyEd 700S,0,Pe700S
AD,PhyEd,711F,0,0,1,,,9999,0,PhyEd 711F,0,Pe711F
AD,PhyEd,712F,0,0,1,,,9999,0,PhyEd 712F,0,Pe712F
AD,PhyEd,713F,0,0,1,,,9999,0,PhyEd 713F,0,Pe713F
AD,PhyEd,714F,0,0,1,,,9999,0,PhyEd 714F,0,Pe714F
AD,PhyEd,715F,0,0,1,,,9999,0,PhyEd 715F,0,Pe715F
AD,PhyEd,716F,0,0,1,,,9999,0,PhyEd 716F,0,Pe716F
AD,PhyEd,717F,0,0,1,,,9999,0,PhyEd 717F,0,Pe717F
AD,PhyEd,718F,0,0,1,,,9999,0,PhyEd 718F,0,Pe718F
AD,PhyEd,711W,0,0,1,,,9999,0,PhyEd 711W,0,Pe711W
AD,PhyEd,712W,0,0,1,,,9999,0,PhyEd 712W,0,Pe712W
AD,PhyEd,713W,0,0,1,,,9999,0,PhyEd 713W,0,Pe713W
AD,PhyEd,714W,0,0,1,,,9999,0,PhyEd 714W,0,Pe714W
AD,PhyEd,715W,0,0,1,,,9999,0,PhyEd 715W,0,Pe715W
AD,PhyEd,716W,0,0,1,,,9999,0,PhyEd 716W,0,Pe716W
AD,PhyEd,717W,0,0,1,,,9999,0,PhyEd 717W,0,Pe717W
AD,PhyEd,718W,0,0,1,,,9999,0,PhyEd 718W,0,Pe718W
AD,PhyEd,711S,0,0,1,,,9999,0,PhyEd 711S,0,Pe711S
AD,PhyEd,712S,0,0,1,,,9999,0,PhyEd 712S,0,Pe712S
AD,PhyEd,713S,0,0,1,,,9999,0,PhyEd 713S,0,Pe713S
AD,PhyEd,714S,0,0,1,,,9999,0,PhyEd 714S,0,Pe714S
AD,PhyEd,715S,0,0,1,,,9999,0,PhyEd 715S,0,Pe715S
