Cadet PID,Course Term,Course,Sec1,Sec2,Period,Subject,Number,Course Number,Suffix,Course Lookup
31270,Spring 2018,Mgt 401,T4A,,T4,Mgt,401,401,,Mgt 401
31270,Spring 2018,Mgt 420,T6A,,T6,Mgt,420,420,,Mgt 420
31270,Spring 2018,Mgt 448,T3A,,T3,Mgt,448,448,,Mgt 448
31270,Spring 2018,Mgt 478,M2A,,M2,Mgt,478,478,,Mgt 478
31270,Spring 2018,PhyEd 488,T1A,,T1,PhyEd,488,488,,PhyEd 488
31270,Fall 2018,AstroEngr 310,T2A,,T2,AstroEngr,310,310,,AstroEngr 310
31270,Fall 2018,Mgt 472,M6A,M7A,M6,Mgt,472,472,,Mgt 472
31270,Fall 2018,Mgt 477,T4A,,T4,Mgt,477,477,,Mgt 477
31270,Fall 2018,MSS 451,M4A,,M4,MSS,451,451,,MSS 451
31270,Fall 2018,PhyEd 342C,T6A,T7A,T6,PhyEd,342C,342,C,PhyEd 342
31270,Fall 2018,SocSci 412,T3A,,T3,SocSci,412,412,,SocSci 412
31270,Fall 2018,SocSci 483,M3A,,M3,SocSci,483,483,,SocSci 483
32611,Spring 2018,CompSci 362,T4A,,T4,CompSci,362,362,,CompSci 362
32611,Spring 2018,Econ 365,M2A,,M2,Econ,365,365,,Econ 365
32611,Spring 2018,ExtProg 710,T5A,,T5,ExtProg,710,710,,ExtProg 710
32611,Spring 2018,Math 378,T3A,,T3,Math,378,378,,Math 378
32611,Spring 2018,OpsRsch 312,M3A,,M3,OpsRsch,312,312,,OpsRsch 312
32611,Spring 2018,PhyEd 215,T6A,,T6,PhyEd,215,215,,PhyEd 215
32611,Spring 2018,PhyEd 315,T6A,,T6,PhyEd,315,315,,PhyEd 315
32611,Spring 2018,SocSci 483,T2A,,T2,SocSci,483,483,,SocSci 483
32611,Fall 2018,Econ 411,M4A,,M4,Econ,411,411,,Econ 411
32611,Fall 2018,ExtProg 710,T5A,,T5,ExtProg,710,710,,ExtProg 710
32611,Fall 2018,Math 377,T4A,,T4,Math,377,377,,Math 377
32611,Fall 2018,OpsRsch 311,M3A,,M3,OpsRsch,311,311,,OpsRsch 311
32611,Fall 2018,OpsRsch 331,T3A,,T3,OpsRsch,331,331,,OpsRsch 331
32611,Fall 2018,Philos 310,T6B,,T6,Philos,310,310,,Philos 310
32611,Fall 2018,PhyEd 487D,M1A,M2A,M1,PhyEd,487D,487,D,PhyEd 487
30907,Spring 2018,Chem 434,M3A,,M3,Chem,434,434,,Chem 434
30907,Spring 2018,Chem 445,T3A,,T3,Chem,445,445,,Chem 445
30907,Spring 2018,Chem 465,T1A,,T1,Chem,465,465,,Chem 465
30907,Spring 2018,English 411,M4A,,M4,English,411,411,,English 411
30907,Spring 2018,Mgt 400,M1A,,M1,Mgt,400,400,,Mgt 400
30907,Spring 2018,PhyEd 916,M6A,,M6,PhyEd,916,916,,PhyEd 916
30907,Spring 2018,PhyEd 926,T6A,,T6,PhyEd,926,926,,PhyEd 926
30907,Fall 2018,AstroEngr 310,M3A,,M3,AstroEngr,310,310,,AstroEngr 310
30907,Fall 2018,Chem 431,M4A,,M4,Chem,431,431,,Chem 431
30907,Fall 2018,Chem 444,T1A,T2A,T1,Chem,444,444,,Chem 444
30907,Fall 2018,EngrMech 440,T3A,T4A,T3,EngrMech,440,440,,EngrMech 440
30907,Fall 2018,PhyEd 484A,T6A,T7A,T6,PhyEd,484A,484,A,PhyEd 484
30907,Fall 2018,PhyEd 826,T6A,T7A,T6,PhyEd,826,826,,PhyEd 826
30907,Fall 2018,PhyEd 916,M6A,M7A,M6,PhyEd,916,916,,PhyEd 916
30907,Fall 2018,Russian 365,T5A,,T5,Russian,365,365,,Russian 365
35617,Spring 2018,ArmnShp 250,T1A,,T1,ArmnShp,250,250,,ArmnShp 250
35617,Spring 2018,CompSci 110,M7A,,M7,CompSci,110,110,,CompSci 110
35617,Spring 2018,English 111,M3E,,M3,English,111,111,,English 111
35617,Spring 2018,History 100,T4B,,T4,History,100,100,,History 100
35617,Spring 2018,Law 220,T3A,,T3,Law,220,220,,Law 220
35617,Spring 2018,Math 142,T7A,,T7,Math,142,142,,Math 142
35617,Spring 2018,PhyEd 110,M1A,,M1,PhyEd,110,110,,PhyEd 110
35617,Fall 2018,BehSci 110,T5C,,T5,BehSci,110,110,,BehSci 110
35617,Fall 2018,Chem 100,M3E,M4E,M3,Chem,100,100,,Chem 100
35617,Fall 2018,Japanese 131,M2B,T2B,M2,Japanese,131,131,,Japanese 131
35617,Fall 2018,LearnStrat 101,M1A,,M1,LearnStrat,101,101,,LearnStrat 101
35617,Fall 2018,Math 141,M6B,,M6,Math,141,141,,Math 141
35617,Fall 2018,PhyEd 112A,T3A,T4A,T3,PhyEd,112A,112,A,PhyEd 112
30414,Spring 2018,Mgt 361,M4A,,M4,Mgt,361,361,,Mgt 361
30414,Spring 2018,Mgt 420,T6A,,T6,Mgt,420,420,,Mgt 420
30414,Spring 2018,Mgt 448,T3B,,T3,Mgt,448,448,,Mgt 448
30414,Spring 2018,PhyEd 341,T1A,,T1,PhyEd,341,341,,PhyEd 341
30414,Spring 2018,SocSci 412,M7A,,M7,SocSci,412,412,,SocSci 412
30414,Fall 2018,ArmnShp 490A,M3A,M4A,M3,ArmnShp,490A,490,A,ArmnShp 490
30414,Fall 2018,AstroEngr 310,T1A,,T1,AstroEngr,310,310,,AstroEngr 310
30414,Fall 2018,Econ 423,T3A,,T3,Econ,423,423,,Econ 423
30414,Fall 2018,Mgt 419,T4B,,T4,Mgt,419,419,,Mgt 419
30414,Fall 2018,Mgt 472,M6A,M7A,M6,Mgt,472,472,,Mgt 472
30414,Fall 2018,Mgt 477,T5A,,T5,Mgt,477,477,,Mgt 477
30414,Fall 2018,MSS 451X,T6A,,T6,MSS,451X,451,X,MSS 451
30414,Fall 2018,PhyEd 342A,M1A,M2A,M1,PhyEd,342A,342,A,PhyEd 342
32712,Spring 2018,CompSci 364,M4A,,M4,CompSci,364,364,,CompSci 364
32712,Spring 2018,CompSci 380,T2A,,T2,CompSci,380,380,,CompSci 380
32712,Spring 2018,CompSci 385,M2A,,M2,CompSci,385,385,,CompSci 385
32712,Spring 2018,CompSci 483,M3A,,M3,CompSci,483,483,,CompSci 483
32712,Spring 2018,ExtProg 710,T5A,,T5,ExtProg,710,710,,ExtProg 710
32712,Spring 2018,Math 356,T1A,,T1,Math,356,356,,Math 356
32712,Spring 2018,PhyEd 215,T6A,,T6,PhyEd,215,215,,PhyEd 215
32712,Spring 2018,PhyEd 315,T6A,,T6,PhyEd,315,315,,PhyEd 315
32712,Spring 2018,PhyEd 826,T6A,,T6,PhyEd,826,826,,PhyEd 826
32712,Spring 2018,PhyEd 916,M6A,,M6,PhyEd,916,916,,PhyEd 916
32712,Fall 2018,CompSci 330,M3A,,M3,CompSci,330,330,,CompSci 330
32712,Fall 2018,CompSci 350,M4A,,M4,CompSci,350,350,,CompSci 350
32712,Fall 2018,CompSci 467,T2A,,T2,CompSci,467,467,,CompSci 467
32712,Fall 2018,EngrMech 220,T3A,,T3,EngrMech,220,220,,EngrMech 220
32712,Fall 2018,ExtProg 710,T5A,,T5,ExtProg,710,710,,ExtProg 710
32712,Fall 2018,MSS 451,T4A,,T4,MSS,451,451,,MSS 451
32712,Fall 2018,Philos 310,M1A,,M1,Philos,310,310,,Philos 310
32712,Fall 2018,PhyEd 211C,T6A,T7A,T6,PhyEd,211C,211,C,PhyEd 211
32712,Fall 2018,PhyEd 215D,T6A,T7A,T6,PhyEd,215D,215,D,PhyEd 215
32712,Fall 2018,PhyEd 826,T6A,T7A,T6,PhyEd,826,826,,PhyEd 826
32712,Fall 2018,PhyEd 916,M6A,M7A,M6,PhyEd,916,916,,PhyEd 916
32712,Fall 2018,PhyEd 925,T5A,,T5,PhyEd,925,925,,PhyEd 925
30568,Spring 2018,AeroEngr 315,M1B,,M1,AeroEngr,315,315,,AeroEngr 315
30568,Spring 2018,AstroEngr 437,M3A,,M3,AstroEngr,437,437,,AstroEngr 437
30568,Spring 2018,AstroEngr 495,T3A,,T3,AstroEngr,495,495,,AstroEngr 495
30568,Spring 2018,Biology 215,M6B,,M6,Biology,215,215,,Biology 215
30568,Spring 2018,MSS 451,M2A,,M2,MSS,451,451,,MSS 451
30568,Spring 2018,PhyEd 344,T1A,,T1,PhyEd,344,344,,PhyEd 344
30568,Fall 2018,ArmnShp 490C,T3A,T4A,T3,ArmnShp,490C,490,C,ArmnShp 490
30568,Fall 2018,AstroEngr 436,M3A,M4A,M3,AstroEngr,436,436,,AstroEngr 436
