Dept,Course Lookup,Semester,Period,Sections
DFAN,AeroEngr 315,Fall,M1,2
DFAN,AeroEngr 341,Fall,M1,1
DFAN,AeroEngr 210,Fall,M2,1
DFAN,AeroEngr 315,Fall,M2,3
DFAN,AeroEngr 341,Fall,M2,1
DFAN,AeroEngr 466,Fall,M2,1
DFAN,AeroEngr 315,Fall,M3,1
DFAN,AeroEngr 457,Fall,M3,1
DFAN,AeroEngr 315,Fall,M4,3
DFAN,AeroEngr 315,Fall,T1,2
DFAN,AeroEngr 456,Fall,T1,1
DFAN,AeroEngr 471,Fall,T1,1
DFAN,AeroEngr 315,Fall,T2,2
DFAN,AeroEngr 442,Fall,T2,1
DFAN,AeroEngr 210,Fall,T3,1
DFAN,AeroEngr 315,Fall,T3,3
DFAN,AeroEngr 442,Fall,T3,1
DFAN,AeroEngr 456,Fall,T3,1
DFAN,AeroEngr 471,Fall,T3,1
DFAN,AeroEngr 210,Fall,T4,1
DFAN,AeroEngr 315,Fall,T4,3
DFAN,AeroEngr 315,Winter,M1,2
DFAN,AeroEngr 342,Winter,M1,1
DFAN,AeroEngr 351,Winter,M1,1
DFAN,AeroEngr 471,Winter,M1,1
DFAN,AeroEngr 481,Winter,M1,1
DFAN,SysEngr 491A,Winter,M1,1
DFAN,AeroEngr 315,Winter,M2,2
DFAN,AeroEngr 351,Winter,M2,1
DFAN,AeroEngr 446,Winter,M2,1
DFAN,AeroEngr 210,Winter,M3,1
DFAN,AeroEngr 315,Winter,M3,3
DFAN,AeroEngr 481,Winter,M3,1
DFAN,SysEngr 491A,Winter,M3,1
DFAN,AeroEngr 315,Winter,M4,3
DFAN,AeroEngr 315,Winter,T1,2
DFAN,AeroEngr 342,Winter,T1,1
DFAN,AeroEngr 351,Winter,T1,1
DFAN,AeroEngr 471,Winter,T1,1
DFAN,AeroEngr 481,Winter,T1,2
DFAN,AeroEngr 495,Winter,T1,1
DFAN,SysEngr 491A,Winter,T1,2
DFAN,AeroEngr 315,Winter,T2,2
DFAN,AeroEngr 351,Winter,T2,1
DFAN,AeroEngr 495,Winter,T2,1
DFAN,AeroEngr 210,Winter,T3,1
DFAN,AeroEngr 315,Winter,T3,3
DFAN,AeroEngr 436,Winter,T3,1
DFAN,AeroEngr 481,Winter,T3,1
DFAN,SysEngr 491A,Winter,T3,1
DFAN,AeroEngr 315,Winter,T4,1
DFAN,AeroEngr 241,Spring,M1,1
DFAN,AeroEngr 315,Spring,M1,2
DFAN,AeroEngr 471,Spring,M1,1
DFAN,AeroEngr 482,Spring,M1,1
DFAN,AeroEngr 483,Spring,M1,1
DFAN,SysEngr 492A,Spring,M1,2
DFAN,AeroEngr 241,Spring,M2,1
DFAN,AeroEngr 315,Spring,M2,2
DFAN,AeroEngr 352,Spring,M2,1
DFAN,AeroEngr 361,Spring,M2,1
DFAN,AeroEngr 241,Spring,M3,1
DFAN,AeroEngr 315,Spring,M3,1
DFAN,AeroEngr 352,Spring,M3,1
DFAN,AeroEngr 315,Spring,M4,3
DFAN,AeroEngr 361,Spring,M4,1
DFAN,AeroEngr 241,Spring,T1,1
DFAN,AeroEngr 315,Spring,T1,2
DFAN,AeroEngr 456,Spring,T1,1
DFAN,AeroEngr 471,Spring,T1,1
DFAN,AeroEngr 482,Spring,T1,1
DFAN,AeroEngr 495,Spring,T1,1
DFAN,SysEngr 492A,Spring,T1,1
DFAN,AeroEngr 241,Spring,T2,1
DFAN,AeroEngr 315,Spring,T2,2
DFAN,AeroEngr 361,Spring,T2,1
DFAN,AeroEngr 495,Spring,T2,1
DFAN,AeroEngr 241,Spring,T3,1
DFAN,AeroEngr 315,Spring,T3,1
DFAN,AeroEngr 482,Spring,T3,1
DFAN,SysEngr 492A,Spring,T3,1
DFAN,AeroEngr 315,Spring,T4,1
DFAN,AeroEngr 352,Spring,T4,1
DFAS,AstroEngr 310,Fall,M1,2
DFAS,AstroEngr 351,Fall,M1,1
DFAS,AstroEngr 436,Fall,M1,1
DFAS,Space 252,Fall,M1,1
DFAS,Space 350,Fall,M1,1
DFAS,Space 473,Fall,M1,1
DFAS,AstroEngr 310,Fall,M2,2
DFAS,AstroEngr 321,Fall,M2,1
DFAS,Engr 341,Fall,M2,1
DFAS,AstroEngr 310,Fall,M3,2
DFAS,AstroEngr 331,Fall,M3,1
DFAS,AstroEngr 445,Fall,M3,1
DFAS,AstroEngr 495,Fall,M3,1
DFAS,AstroEngr 310,Fall,M4,1
DFAS,AstroEngr 310,Fall,T1,2
DFAS,Engr 341,Fall,T1,1
DFAS,AstroEngr 201,Fall,T2,1
DFAS,AstroEngr 310,Fall,T2,2
DFAS,AstroEngr 310SO,Fall,T2,1
DFAS,AstroEngr 310,Fall,T3,2
DFAS,AstroEngr 331,Fall,T3,1
DFAS,Engr 443,Fall,T3,1
DFAS,Space 251,Fall,T3,1
DFAS,Space 472,Fall,T3,1
DFAS,SysEngr 491B,Fall,T3,1
