Dept,Course Lookup,Contact,Semester,Period,Sections,Max
DFAN,AeroEngr 456,2,Fall,M1,1,24
DFAN,AeroEngr 456,2,Winter,M1,1,24
DFAN,AeroEngr 481,2,Fall,M1,1,24
DFAN,AeroEngr 481,2,Fall,T1,1,24
DFAN,AeroEngr 315,1,Fall,M1,2,24
DFAN,AeroEngr 315,1,Winter,M1,2,24
DFAN,AeroEngr 315,1,Spring,M1,1,24
DFAN,AeroEngr 315,1,Fall,M2,2,24
DFAN,AeroEngr 315,1,Winter,M2,2,24
DFAN,AeroEngr 315,1,Spring,M2,2,24
DFAN,AeroEngr 315,1,Fall,M3,2,24
DFAN,AeroEngr 315,1,Winter,M3,2,24
DFAN,AeroEngr 315,1,Spring,M3,2,24
DFAN,AeroEngr 315,1,Fall,M4,1,24
DFAN,AeroEngr 315,1,Winter,M4,2,24
DFAN,AeroEngr 315,1,Spring,M4,2,24
DFAN,AeroEngr 315,1,Fall,T1,2,24
DFAN,AeroEngr 315,1,Winter,T1,1,24
DFAN,AeroEngr 315,1,Spring,T1,2,24
DFAN,AeroEngr 315,1,Fall,T2,2,24
DFAN,AeroEngr 315,1,Winter,T2,2,24
DFAN,AeroEngr 315,1,Spring,T2,1,24
DFAN,AeroEngr 315,1,Fall,T3,2,24
DFAN,AeroEngr 315,1,Winter,T3,1,24
DFAN,AeroEngr 315,1,Spring,T3,2,24
DFAN,AeroEngr 315,1,Fall,T4,1,24
DFAN,AeroEngr 315,1,Winter,T4,2,24
DFAN,AeroEngr 315,1,Spring,T4,2,24
DFAN,AeroEngr 471,2,Winter,M1,1,24
DFAN,AeroEngr 471,2,Fall,T1,1,24
DFAN,AeroEngr 342,2,Winter,M1,1,24
DFAN,AeroEngr 342,2,Winter,T3,1,24
DFAN,AeroEngr 351,1,Winter,M1,1,24
DFAN,AeroEngr 351,1,Winter,M3,1,24
DFAN,AeroEngr 351,1,Winter,T1,1,24
DFAN,AeroEngr 241,1,Spring,M1,1,24
DFAN,AeroEngr 241,1,Spring,M2,1,24
DFAN,AeroEngr 241,1,Spring,M3,1,24
DFAN,AeroEngr 241,1,Spring,T1,1,24
DFAN,AeroEngr 241,1,Spring,T2,1,24
DFAN,AeroEngr 241,1,Spring,T3,1,24
DFAN,AeroEngr 341,1,Fall,M2,1,24
DFAN,AeroEngr 341,1,Fall,M3,1,24
DFAN,AeroEngr 352,1,Winter,M2,1,24
DFAN,AeroEngr 352,1,Winter,M3,1,24
DFAN,AeroEngr 352,1,Winter,T4,1,24
DFAN,AeroEngr 495,1,Spring,M2,1,24
DFAN,AeroEngr 495,1,Spring,M3,1,24
DFAN,AeroEngr 361,1,Spring,M2,1,24
DFAN,AeroEngr 361,1,Spring,M3,1,24
DFAN,AeroEngr 361,1,Spring,T3,1,24
DFAN,AeroEngr 457,1,Fall,M3,1,24
DFAN,AeroEngr 210,1,Fall,M3,1,24
DFAN,AeroEngr 210,1,Fall,T2,1,24
DFAN,AeroEngr 210,1,Winter,T2,1,24
DFAN,AeroEngr 210,1,Fall,T3,1,24
DFAN,AeroEngr 210,1,Winter,T3,1,24
DFAN,AeroEngr 446,1,Winter,M3,1,24
DFAN,AeroEngr 482,2,Spring,M3,1,24
DFAN,AeroEngr 482,2,Spring,T1,1,24
DFAN,AeroEngr 483,2,Winter,T1,1,24
DFAN,AeroEngr 315S,1,Fall,T2,1,24
DFAN,SysEngr 491A,1,Fall,T2,1,999
DFAN,AeroEngr 442,1,Fall,T2,1,24
DFAN,AeroEngr 442,1,Fall,T3,1,24
DFAN,AeroEngr 436,1,Winter,T2,1,24
DFAN,AeroEngr 466,1,Fall,T3,1,24
DFAS,Space 252,2xx,Fall,M1,1,999
DFAS,Space 252,2xx,Winter,M1,1,999
DFAS,AstroEngr 436,2,Fall,M1,1,35
DFAS,Space 350,2,Fall,M1,1,24
DFAS,Space 350,2,Winter,M3,1,24
DFAS,Space 473,2,Fall,M1,1,999
DFAS,Space 473,2,Winter,T3,1,999
DFAS,AstroEngr 310,1,Fall,M1,2,24
DFAS,AstroEngr 310,1,Winter,M1,2,24
DFAS,AstroEngr 310,1,Spring,M1,2,24
DFAS,AstroEngr 310,1,Fall,M2,2,24
DFAS,AstroEngr 310,1,Winter,M2,2,24
DFAS,AstroEngr 310,1,Spring,M2,2,24
DFAS,AstroEngr 310,1,Fall,M3,2,24
DFAS,AstroEngr 310,1,Winter,M3,2,24
DFAS,AstroEngr 310,1,Spring,M3,2,24
DFAS,AstroEngr 310,1,Fall,M4,1,24
DFAS,AstroEngr 310,1,Winter,M4,1,24
DFAS,AstroEngr 310,1,Spring,M4,1,24
DFAS,AstroEngr 310,1,Fall,T1,2,24
DFAS,AstroEngr 310,1,Winter,T1,2,24
DFAS,AstroEngr 310,1,Spring,T1,2,24
DFAS,AstroEngr 310,1,Fall,T2,2,24
DFAS,AstroEngr 310,1,Winter,T2,2,24
DFAS,AstroEngr 310,1,Spring,T2,2,24
DFAS,AstroEngr 310,1,Fall,T3,2,24
DFAS,AstroEngr 310,1,Winter,T3,2,24
DFAS,AstroEngr 310,1,Spring,T3,2,24
DFAS,AstroEngr 310,1,Fall,T4,2,24
DFAS,AstroEngr 310,1,Winter,T4,1,24
DFAS,AstroEngr 310,1,Spring,T4,1,24
DFAS,Space 251,2xx,Winter,M1,1,999
DFAS,Space 251,2xx,Spring,T1,1,999
DFAS,Space 251,2xx,Fall,T3,1,999
DFAS,Space 472,2,Winter,M1,1,999
DFAS,Space 472,2,Spring,M3,1,999
DFAS,Space 472,2,Fall,T3,1,999
DFAS,AstroEngr 331,2,Winter,M1,1,24
DFAS,AstroEngr 331,2,Spring,T1,1,24
DFAS,AstroEngr 331,2,Winter,T3,1,24
DFAS,AstroEngr 437,2,Winter,M1,1,35
DFAS,AstroEngr 437,2,Winter,T1,1,35
DFAS,Engr 342,2,Spring,M1,1,24
DFAS,Engr 342,2,Spring,T3,1,24
DFAS,Engr 341,1,Fall,M2,1,24
DFAS,Engr 341,1,Fall,M3,1,24
DFAS,Engr 341,1,Fall,T1,1,24
DFAS,AstroEngr 351,1,Winter,M2,1,24
DFAS,AstroEngr 351,1,Spring,M2,1,24
DFAS,AstroEngr 351,1,Spring,M3,1,24
DFAS,AstroEngr 321,1,Spring,M2,1,24
DFAS,AstroEngr 321,1,Winter,T2,1,24
DFAS,AstroEngr 495,1,Spring,M2,1,24
DFAS,AstroEngr 495,1,Fall,M3,1,24
DFAS,AstroEngr 495,1,Spring,M3,1,24
DFAS,AstroEngr 445,1,Fall,M3,1,24
DFAS,AstroEngr 445,1,Winter,T3,1,24
DFAS,AstroEngr 201,1,Fall,T2,1,24
DFAS,AstroEngr 201,1,Winter,T3,1,24
DFAS,AstroEngr 310SO,1,Fall,T2,1,24
DFAS,AstroEngr 310SO,1,Fall,T3,1,24
DFAS,Engr 443,1,Fall,T3,1,24
DFAS,SysEngr 491B,1,Fall,T3,1,999
DFAS,AstroEngr 335,1,Winter,T3,1,24
DFAS,AstroEngr 422,1,Winter,T3,1,24
DFB,Biology 481,2,Fall,M1,1,24
