Course,Prerequisite
Physics 215,Physics 110
Chem 200,Chem 100
Arabic 132,Arabic 131
Chinese 132,Chinese 131
ForLang 132,ForLang 131
French 132,French 131
German 132,German 131
Japanese 132,Japanese 131
Portuguese 132,Portuguese 131
Russian 132,Russian 131
Spanish 132,Spanish 131
Math 142,Math 141
CompSci 220,CompSci 210
Arabic 222,Arabic 221
Chinese 222,Chinese 221
French 222,French 221
German 222,German 221
Japanese 222,Japanese 221
Portuguese 222,Portuguese 221
Russian 222,Russian 221
Spanish 222,Spanish 221
Arabic 322,Arabic 321
Chinese 322,Chinese 321
French 322,French 321
German 322,German 321
Japanese 322,Japanese 321
Portuguese 322,Portuguese 321
Russian 322,Russian 321
Spanish 322,Spanish 321
Math 245,Math 243
PhyEd 222,PhyEd 111
PhyEd 315,PhyEd 215
PhyEd 120,PhyEd 119
PhyEd 211,PhyEd 120
Chem 234,Chem 233
Chem 243,Chem 233
