student,semester,course,period
32611,Fall,PhyEd 215,M3
32611,Winter,PhyEd 315,T3
32611,Spring,PhyEd 487,T1
35617,Winter,PhyEd 110,M4
35617,Fall,PhyEd 112,T1
32712,Fall,PhyEd 215,T4
32712,Winter,PhyEd 315,T4
32712,Spring,PhyEd 211,T4
32712,Fall,PhyEd 215,M2
33112,Spring,PhyEd 111,M2
33112,Spring,PhyEd 222,M2
32713,Winter,PhyEd 315,T1
32713,Spring,PhyEd 340,T4
32713,Winter,PhyEd 215,T1
31990,Fall,PhyEd 215,T2
31990,Winter,PhyEd 315,T2
32714,Spring,PhyEd 215,M2
32714,Winter,PhyEd 222,M1
34547,Spring,PhyEd 112,T2
34547,Fall,PhyEd 110,M3
33114,Spring,PhyEd 345,T4
33114,Winter,PhyEd 119,T1
33114,Winter,PhyEd 120,T1
34548,Spring,PhyEd 110,M4
32365,Spring,PhyEd 211,T4
32365,Winter,PhyEd 484,T4
32365,Winter,PhyEd 119,T1
32365,Winter,PhyEd 120,T1
32365,Spring,PhyEd 211,T4
32365,Winter,PhyEd 215,T3
34549,Fall,PhyEd 110,T2
34549,Spring,PhyEd 112,T2
34550,Fall,PhyEd 110,T2
34550,Fall,PhyEd 112,T1
34169,Winter,PhyEd 112,T3
34169,Winter,PhyEd 211,T1
34169,Winter,PhyEd 112,M2
34169,Winter,PhyEd 119,T4
34169,Winter,PhyEd 120,T1
34169,Winter,PhyEd 211,T1
34170,Fall,PhyEd 487,M2
34170,Spring,PhyEd 112,M2
34170,Fall,PhyEd 119,T1
34170,Winter,PhyEd 120,M1
34170,Winter,PhyEd 211,M1
34551,Fall,PhyEd 110,T1
35231,Spring,PhyEd 112,M3
35231,Winter,PhyEd 110,M3
33116,Fall,PhyEd 111,T4
33116,Fall,PhyEd 222,T4
33117,Winter,PhyEd 484,M1
33117,Spring,PhyEd 341,M3
31691,Winter,PhyEd 315,T3
31691,Fall,PhyEd 487,T2
31691,Winter,PhyEd 215,T3
34172,Winter,PhyEd 222,M2
34172,Fall,PhyEd 484,M3
34172,Winter,PhyEd 111,M2
31692,Fall,PhyEd 215,T1
31692,Fall,PhyEd 315,T1
33118,Winter,PhyEd 222,M4
33118,Winter,PhyEd 111,M4
33119,Winter,PhyEd 343,T4
33119,Winter,PhyEd 111,T4
33119,Winter,PhyEd 222,T4
35618,Winter,PhyEd 110,T1
35237,Fall,PhyEd 110,T2
35237,Spring,PhyEd 112,T4
34173,Spring,PhyEd 211,T1
34173,Spring,PhyEd 343,M2
34173,Spring,PhyEd 111,T3
34173,Spring,PhyEd 222,T3
31991,Fall,PhyEd 215,T4
31991,Winter,PhyEd 315,T4
31991,Winter,PhyEd 343,T3
31991,Spring,PhyEd 488,M4
35619,Fall,PhyEd 110,T4
34174,Fall,PhyEd 119,M4
34174,Fall,PhyEd 120,M4
34174,Winter,PhyEd 211,M4
34174,Fall,PhyEd 341,M4
34552,Winter,PhyEd 110,M1
34552,Winter,PhyEd 112,T3
34553,Winter,PhyEd 112,T4
34553,Spring,PhyEd 110,T2
33121,Winter,PhyEd 222,T3
33121,Winter,PhyEd 343,T3
33121,Winter,PhyEd 111,T3
35232,Winter,PhyEd 112,T1
35232,Spring,PhyEd 110,T2
32716,Spring,PhyEd 215,M2
32716,Spring,PhyEd 315,M2
32716,Fall,PhyEd 487,T2
33122,Winter,PhyEd 345,T2
33122,Fall,PhyEd 119,T4
