student,semester,course,period
32611,Winter,CompSci 362,M3
32611,Spring,Econ 365,T4
32611,Spring,Math 378,T3
32611,Spring,OpsRsch 312,M4
32611,Fall,SocSci 483,T4
32611,Fall,Econ 411,T3
32611,Winter,Math 377,M2
32611,,OpsRsch 311,
32611,Fall,OpsRsch 331,T2
32611,Winter,Philos 310,T3
32611,Winter,PhyEd 700W,T4
32611,Spring,PhyEd 700S,T2
35617,Fall,CompSci 110,T2
35617,Winter,English 111,T3
35617,Spring,History 100,M3
35617,Spring,Law 220,T1
35617,Spring,Math 142,M2
35617,Fall,BehSci 110,T4
35617,Winter,Chem 100,M1
35617,Fall,Japanese 131,M4
35617,Fall,LearnStrat 101,T1
35617,Winter,Math 141,T4
35617,Fall,PhyEd 700F,T3
35617,Spring,PhyEd 700S,M1
32712,Spring,CompSci 364,T3
32712,Spring,CompSci 380,T2
32712,Spring,CompSci 385,M2
32712,Spring,CompSci 483,M3
32712,Winter,Math 356,T3
32712,Fall,CompSci 330,M2
32712,Fall,CompSci 350,M3
32712,,CompSci 467,
32712,Fall,EngrMech 220,T2
32712,Winter,MSS 451,M3
32712,Winter,Philos 310,M2
32712,Fall,PhyEd 700F,M1
32712,Winter,PhyEd 700W,M4
33112,Spring,AeroEngr 241,T1
33112,Spring,AeroEngr 495,M2
33112,Winter,EngrMech 330,M3
33112,Winter,Law 220,M1
33112,Fall,Math 356,M3
33112,Fall,MSS 251,M1
33112,Winter,AeroEngr 210,T2
33112,Fall,CompSci 206,M2
33112,Spring,ECE 315,M1
33112,Spring,EngrMech 220,M3
33112,Fall,History 300,T1
33112,Winter,Math 245,M4
33112,Fall,PolSci 211,M4
33112,Winter,PhyEd 700W,M2
33112,Spring,PhyEd 700S,M4
32713,Winter,AstroEngr 310,T1
32713,Winter,Geo 250,M1
32713,Spring,German 322,T3
32713,Winter,History 230,M2
32713,Spring,History 345,T2
32713,Fall,Philos 310,M3
32713,Winter,Biology 215,M3
32713,,German 321,
32713,Spring,History 300,M2
32713,Spring,Math 300,M3
32713,Fall,MSS 493,T3
32713,Fall,Physics 215,M1
32713,Fall,PhyEd 700F,T4
32713,Spring,PhyEd 700S,M1
31990,Winter,AeroEngr 315,M1
31990,Winter,CompSci 362,M2
31990,Fall,ECE 315,T1
31990,Spring,Econ 365,M1
31990,Spring,OpsRsch 312,M2
